Using Python: /home/anurag/.conda/envs/proj_agri_iitr/bin/python
Starting Run: 16_03_run_test_80k_5DEB07
Output Dir:   outputs/16_03_run_test_80k_5DEB07
Parameters saved to: outputs/16_03_run_test_80k_5DEB07/experiment_config.json
Loaded 83000 samples from data/train_bilingual_mixed_83k_agri65k.parquet
Loading 8B Teacher in BF16...
Loading 0.6B-MoE Student in BF16...
Applying symmetry-breaking noise to experts...
Mapping 28 Student layers -> 36 Teacher layers
Training Started. Steps per Epoch: 41500

=== EPOCH 1/1 
Visualization saved to outputs/16_03_run_test_80k_5DEB07/audits/teacher_expert_alignment_7.png
Teacher alignment avg: 0.1618

Step 7: Expert Specialization Audit (Real-Data Hook)
Expert similarity avg: 1.0000
Visualization saved to outputs/16_03_run_test_80k_5DEB07/audits/heatmap_step_7.png
Layer 14 Avg Expert Similarity: 1.0000
Step 20 | Loss: 27.4934 | KL: 38.3509 | CE: 15.6421 | CKA: 0.7966 | DIV: 1.0000 | Router: 1.7002 | MaxLoad: 15.38% | LR: 1.60e-06
Step 40 | Loss: 26.3753 | KL: 36.5485 | CE: 15.2499 | CKA: 0.7480 | DIV: 1.0000 | Router: 1.6454 | MaxLoad: 18.61% | LR: 4.00e-06
Step 60 | Loss: 23.4505 | KL: 33.5067 | CE: 12.4440 | CKA: 0.7176 | DIV: 1.0000 | Router: 1.6686 | MaxLoad: 15.65% | LR: 5.60e-06
Step 80 | Loss: 19.5360 | KL: 27.6017 | CE: 10.4129 | CKA: 0.8910 | DIV: 1.0000 | Router: 1.7558 | MaxLoad: 15.03% | LR: 8.00e-06
Step 100 | Loss: 19.8576 | KL: 29.3472 | CE: 9.3436 | CKA: 0.7261 | DIV: 1.0000 | Router: 1.8011 | MaxLoad: 18.73% | LR: 9.60e-06
Step 120 | Loss: 14.2171 | KL: 20.1020 | CE: 7.2379 | CKA: 0.9099 | DIV: 1.0000 | Router: 1.7192 | MaxLoad: 17.33% | LR: 1.20e-05
Step 140 | Loss: 13.1415 | KL: 17.6182 | CE: 7.5712 | CKA: 0.9107 | DIV: 1.0000 | Router: 1.6943 | MaxLoad: 16.03% | LR: 1.36e-05
Step 160 | Loss: 12.7024 | KL: 17.0773 | CE: 7.2399 | CKA: 0.8344 | DIV: 1.0000 | Router: 1.7264 | MaxLoad: 17.96% | LR: 1.60e-05
Step 180 | Loss: 10.9630 | KL: 15.2169 | CE: 5.5726 | CKA: 0.9813 | DIV: 1.0000 | Router: 1.7139 | MaxLoad: 17.42% | LR: 1.76e-05
Step 200 | Loss: 11.9215 | KL: 16.0846 | CE: 6.6575 | CKA: 0.8612 | DIV: 1.0000 | Router: 1.7380 | MaxLoad: 17.73% | LR: 2.00e-05
Step 220 | Loss: 11.2373 | KL: 15.2958 | CE: 6.0265 | CKA: 0.9850 | DIV: 1.0000 | Router: 1.7325 | MaxLoad: 19.69% | LR: 2.16e-05
Step 240 | Loss: 11.5207 | KL: 15.5593 | CE: 6.3622 | CKA: 0.9740 | DIV: 0.9999 | Router: 1.6948 | MaxLoad: 16.69% | LR: 2.40e-05
Step 260 | Loss: 10.6997 | KL: 14.6686 | CE: 5.6048 | CKA: 0.8889 | DIV: 1.0000 | Router: 1.7534 | MaxLoad: 19.46% | LR: 2.56e-05
Step 280 | Loss: 10.4215 | KL: 13.9233 | CE: 5.8528 | CKA: 0.7331 | DIV: 1.0000 | Router: 1.7614 | MaxLoad: 17.78% | LR: 2.80e-05
Step 300 | Loss: 10.2401 | KL: 14.0199 | CE: 5.3094 | CKA: 0.9544 | DIV: 1.0000 | Router: 1.7648 | MaxLoad: 17.99% | LR: 2.96e-05
Step 320 | Loss: 17.2589 | KL: 24.6299 | CE: 8.7714 | CKA: 0.8894 | DIV: 1.0000 | Router: 1.8410 | MaxLoad: 17.30% | LR: 3.20e-05
Step 340 | Loss: 10.0089 | KL: 13.6191 | CE: 5.2998 | CKA: 0.8393 | DIV: 1.0000 | Router: 1.7668 | MaxLoad: 18.04% | LR: 3.36e-05
Step 360 | Loss: 9.7446 | KL: 13.1461 | CE: 5.2916 | CKA: 0.7979 | DIV: 1.0000 | Router: 1.7115 | MaxLoad: 18.37% | LR: 3.60e-05
Step 380 | Loss: 10.3876 | KL: 13.9439 | CE: 5.7138 | CKA: 0.8822 | DIV: 1.0000 | Router: 1.7703 | MaxLoad: 17.96% | LR: 3.76e-05
Step 400 | Loss: 11.1415 | KL: 15.5029 | CE: 5.6968 | CKA: 0.8913 | DIV: 0.9999 | Router: 1.7126 | MaxLoad: 17.40% | LR: 4.00e-05
Step 420 | Loss: 11.2999 | KL: 15.5788 | CE: 5.9031 | CKA: 0.9704 | DIV: 1.0000 | Router: 1.7128 | MaxLoad: 17.83% | LR: 4.16e-05
Step 440 | Loss: 14.3963 | KL: 19.3469 | CE: 8.3696 | CKA: 0.7903 | DIV: 1.0000 | Router: 1.7982 | MaxLoad: 17.95% | LR: 4.40e-05
Step 460 | Loss: 9.7817 | KL: 13.3688 | CE: 5.1306 | CKA: 0.8222 | DIV: 1.0000 | Router: 1.7187 | MaxLoad: 17.55% | LR: 4.56e-05
Step 480 | Loss: 9.6250 | KL: 13.5919 | CE: 4.5209 | CKA: 0.9322 | DIV: 1.0000 | Router: 1.7309 | MaxLoad: 16.83% | LR: 4.80e-05
Step 500 | Loss: 11.2941 | KL: 16.0840 | CE: 5.3867 | CKA: 0.9169 | DIV: 1.0000 | Router: 1.7870 | MaxLoad: 17.50% | LR: 4.96e-05
Step 520 | Loss: 9.5524 | KL: 12.9338 | CE: 5.0346 | CKA: 0.9335 | DIV: 1.0000 | Router: 1.7348 | MaxLoad: 17.67% | LR: 5.00e-05
Step 540 | Loss: 10.6877 | KL: 14.2718 | CE: 5.9849 | CKA: 0.8800 | DIV: 1.0000 | Router: 1.7707 | MaxLoad: 16.97% | LR: 5.00e-05
Step 560 | Loss: 9.9379 | KL: 13.6433 | CE: 5.1244 | CKA: 0.8675 | DIV: 1.0000 | Router: 1.7449 | MaxLoad: 17.49% | LR: 5.00e-05
Step 580 | Loss: 9.7571 | KL: 13.2567 | CE: 5.1160 | CKA: 0.9529 | DIV: 1.0000 | Router: 1.7379 | MaxLoad: 17.39% | LR: 5.00e-05
Step 600 | Loss: 9.3283 | KL: 12.8643 | CE: 4.6758 | CKA: 0.8896 | DIV: 1.0000 | Router: 1.7389 | MaxLoad: 16.84% | LR: 5.00e-05
Step 620 | Loss: 9.7155 | KL: 13.3834 | CE: 4.9225 | CKA: 0.9078 | DIV: 1.0000 | Router: 1.7348 | MaxLoad: 18.08% | LR: 5.00e-05
Step 640 | Loss: 9.4949 | KL: 12.9055 | CE: 4.9218 | CKA: 0.9902 | DIV: 1.0000 | Router: 1.7383 | MaxLoad: 17.65% | LR: 5.00e-05
Step 660 | Loss: 9.5328 | KL: 13.0924 | CE: 4.8201 | CKA: 0.9914 | DIV: 1.0000 | Router: 1.7261 | MaxLoad: 18.65% | LR: 5.00e-05
Step 680 | Loss: 9.2268 | KL: 12.8625 | CE: 4.4372 | CKA: 0.9873 | DIV: 1.0000 | Router: 1.7419 | MaxLoad: 19.04% | LR: 5.00e-05
Step 700 | Loss: 10.1439 | KL: 14.0775 | CE: 5.1394 | CKA: 0.7922 | DIV: 1.0000 | Router: 1.7344 | MaxLoad: 18.14% | LR: 5.00e-05
Step 720 | Loss: 9.2364 | KL: 12.7013 | CE: 4.6549 | CKA: 0.8975 | DIV: 1.0000 | Router: 1.7358 | MaxLoad: 18.53% | LR: 5.00e-05
Step 740 | Loss: 9.5299 | KL: 13.0245 | CE: 5.0560 | CKA: 0.6284 | DIV: 0.9999 | Router: 1.7323 | MaxLoad: 15.79% | LR: 5.00e-05
Step 760 | Loss: 8.6776 | KL: 11.7770 | CE: 4.5867 | CKA: 0.7024 | DIV: 1.0000 | Router: 1.7154 | MaxLoad: 16.47% | LR: 5.00e-05
Step 780 | Loss: 9.1501 | KL: 12.7261 | CE: 4.4845 | CKA: 0.8587 | DIV: 1.0000 | Router: 1.7121 | MaxLoad: 16.23% | LR: 5.00e-05
Step 800 | Loss: 9.0404 | KL: 12.6254 | CE: 4.3578 | CKA: 0.8592 | DIV: 1.0000 | Router: 1.7196 | MaxLoad: 16.59% | LR: 5.00e-05
Step 820 | Loss: 9.6588 | KL: 13.3228 | CE: 4.8738 | CKA: 0.9229 | DIV: 1.0000 | Router: 1.7167 | MaxLoad: 15.76% | LR: 5.00e-05
Step 840 | Loss: 8.9226 | KL: 12.4508 | CE: 4.2977 | CKA: 0.9123 | DIV: 1.0000 | Router: 1.7053 | MaxLoad: 15.91% | LR: 5.00e-05
Step 860 | Loss: 8.9961 | KL: 12.5420 | CE: 4.3351 | CKA: 0.9547 | DIV: 1.0000 | Router: 1.6850 | MaxLoad: 15.01% | LR: 5.00e-05
Step 880 | Loss: 9.5653 | KL: 12.8071 | CE: 5.2166 | CKA: 0.9893 | DIV: 0.9999 | Router: 1.7544 | MaxLoad: 16.20% | LR: 5.00e-05
Step 900 | Loss: 8.8092 | KL: 12.4174 | CE: 4.1197 | CKA: 0.8486 | DIV: 1.0000 | Router: 1.6820 | MaxLoad: 15.01% | LR: 5.00e-05
Step 920 | Loss: 8.0755 | KL: 10.9626 | CE: 4.1917 | CKA: 0.7650 | DIV: 0.9999 | Router: 1.6660 | MaxLoad: 14.86% | LR: 5.00e-05
Step 940 | Loss: 8.3846 | KL: 11.3816 | CE: 4.3430 | CKA: 0.8598 | DIV: 1.0000 | Router: 1.6448 | MaxLoad: 15.37% | LR: 5.00e-05
Step 960 | Loss: 7.5788 | KL: 10.0638 | CE: 4.1233 | CKA: 0.6773 | DIV: 1.0000 | Router: 1.6445 | MaxLoad: 15.58% | LR: 5.00e-05
Step 980 | Loss: 8.5374 | KL: 11.6692 | CE: 4.3457 | CKA: 0.8969 | DIV: 0.9999 | Router: 1.7338 | MaxLoad: 15.87% | LR: 5.00e-05
Step 1000 | Loss: 8.2438 | KL: 10.9058 | CE: 4.5111 | CKA: 0.9079 | DIV: 0.9999 | Router: 1.7521 | MaxLoad: 15.95% | LR: 5.00e-05
Step 1020 | Loss: 7.8059 | KL: 10.3037 | CE: 4.2735 | CKA: 0.8378 | DIV: 1.0000 | Router: 1.6322 | MaxLoad: 15.08% | LR: 5.00e-05
Step 1040 | Loss: 7.4647 | KL: 9.8544 | CE: 4.0759 | CKA: 0.7386 | DIV: 1.0000 | Router: 1.6179 | MaxLoad: 15.17% | LR: 5.00e-05
Step 1060 | Loss: 6.3764 | KL: 8.6317 | CE: 3.1616 | CKA: 0.6515 | DIV: 1.0000 | Router: 1.6110 | MaxLoad: 14.77% | LR: 5.00e-05
Step 1080 | Loss: 6.8664 | KL: 8.8042 | CE: 3.8291 | CKA: 0.9864 | DIV: 1.0000 | Router: 1.5845 | MaxLoad: 14.90% | LR: 5.00e-05
Step 1100 | Loss: 5.7169 | KL: 7.5812 | CE: 2.8665 | CKA: 0.7571 | DIV: 1.0000 | Router: 1.6180 | MaxLoad: 15.43% | LR: 5.00e-05
Step 1120 | Loss: 6.8343 | KL: 8.7669 | CE: 3.9695 | CKA: 0.5906 | DIV: 1.0000 | Router: 1.6598 | MaxLoad: 15.46% | LR: 5.00e-05
Step 1140 | Loss: 6.6983 | KL: 8.7500 | CE: 3.6906 | CKA: 0.6615 | DIV: 1.0000 | Router: 1.6731 | MaxLoad: 16.14% | LR: 5.00e-05
Step 1160 | Loss: 6.5467 | KL: 8.6549 | CE: 3.5408 | CKA: 0.5153 | DIV: 0.9999 | Router: 1.6880 | MaxLoad: 15.55% | LR: 5.00e-05
Step 1180 | Loss: 6.2064 | KL: 7.9380 | CE: 3.4723 | CKA: 0.7774 | DIV: 1.0000 | Router: 1.6219 | MaxLoad: 15.05% | LR: 5.00e-05
Step 1200 | Loss: 5.7198 | KL: 7.2973 | CE: 3.1034 | CKA: 0.8266 | DIV: 1.0000 | Router: 1.5761 | MaxLoad: 15.42% | LR: 5.00e-05
Step 1220 | Loss: 5.9180 | KL: 7.5749 | CE: 3.3118 | CKA: 0.6800 | DIV: 1.0000 | Router: 1.6059 | MaxLoad: 15.28% | LR: 5.00e-05
Step 1240 | Loss: 5.5017 | KL: 7.0557 | CE: 2.9196 | CKA: 0.7895 | DIV: 0.9999 | Router: 1.5699 | MaxLoad: 15.35% | LR: 5.00e-05
Step 1260 | Loss: 6.2843 | KL: 7.9625 | CE: 3.6287 | CKA: 0.7375 | DIV: 1.0000 | Router: 1.5725 | MaxLoad: 15.03% | LR: 5.00e-05
Step 1280 | Loss: 5.8795 | KL: 7.4578 | CE: 3.2799 | CKA: 0.8404 | DIV: 1.0000 | Router: 1.6084 | MaxLoad: 14.70% | LR: 5.00e-05
